Row(host=u'olia.teledetection.fr', frequency=148, totalBytes=1094461, averageSize=7395.006756756757)
Row(host=u'oeonline.com', frequency=148, totalBytes=952483, averageSize=6435.695945945946)
Row(host=u'128.159.142.65', frequency=148, totalBytes=2625900, averageSize=17742.567567567567)
Row(host=u'netcom19.netcom.com', frequency=149, totalBytes=2128435, averageSize=14284.79865771812)
Row(host=u'sydney2.world.net', frequency=149, totalBytes=2834833, averageSize=19025.724832214764)
Row(host=u'inetsv1.daimon-hs.daimon.toyama.jp', frequency=149, totalBytes=3705092, averageSize=24866.389261744967)
Row(host=u'chaos.idirect.com', frequency=149, totalBytes=1283521, averageSize=8614.23489932886)
Row(host=u'bast.air.saab.se', frequency=149, totalBytes=12359778, averageSize=82951.53020134228)
Row(host=u'204.180.98.3', frequency=149, totalBytes=3386284, averageSize=22726.738255033557)
Row(host=u'merc.micron.com', frequency=149, totalBytes=1840153, averageSize=12350.020134228187)
Row(host=u'192.58.206.21', frequency=149, totalBytes=2540607, averageSize=17051.053691275167)
Row(host=u'163.205.11.210', frequency=149, totalBytes=375228, averageSize=2518.308724832215)
Row(host=u'wizard.spry.com', frequency=149, totalBytes=5004524, averageSize=33587.409395973154)
Row(host=u'onet2.cup.hp.com', frequency=150, totalBytes=1181061, averageSize=7873.74)
Row(host=u'163.205.16.6', frequency=150, totalBytes=375852, averageSize=2505.68)
Row(host=u'pc092040.oulu.fi', frequency=150, totalBytes=2159822, averageSize=14398.813333333334)
Row(host=u'128.217.61.57', frequency=150, totalBytes=1130309, averageSize=7535.393333333333)
Row(host=u'ath-gw7.hol.gr', frequency=150, totalBytes=2223213, averageSize=14821.42)
Row(host=u'158.26.35.139', frequency=150, totalBytes=1179395, averageSize=7862.633333333333)
Row(host=u'ppp-nyc-1-23.ios.com', frequency=150, totalBytes=1241082, averageSize=8273.88)
Row(host=u'ns.rmc.com', frequency=151, totalBytes=5894301, averageSize=39035.105960264904)
Row(host=u'n1032553.ksc.nasa.gov', frequency=151, totalBytes=1485170, averageSize=9835.562913907284)
Row(host=u'asky.picky.or.jp', frequency=151, totalBytes=1793805, averageSize=11879.503311258279)
